| category                        | AP     | AP50   | AP75   |
|:--------------------------------|:-------|:-------|:-------|
| Diver                           | 51.336 | 70.841 | 62.018 |
| Swimmer                         | 84.496 | 96.958 | 92.444 |
| Geoduck                         | 27.842 | 40.424 | 27.272 |
| Linckia Laevigata               | 78.042 | 87.102 | 82.415 |
| Electric Ray                    | 30.374 | 31.143 | 30.754 |
| Great White Shark               | 87.793 | 90.266 | 90.266 |
| Whale Shark                     | 88.459 | 96.473 | 96.473 |
| Hammerhead Shark                | 86.739 | 90.280 | 90.280 |
| Thresher Shark                  | 87.451 | 96.137 | 96.137 |
| Sea Dragon                      | 67.329 | 82.847 | 75.677 |
| Hippocampus                     | 46.655 | 63.497 | 55.945 |
| Moray Eel                       | 76.301 | 88.053 | 79.934 |
| Lionfish                        | 76.078 | 96.972 | 94.004 |
| Trumpetfish                     | 73.104 | 90.235 | 89.400 |
| Flounder                        | 16.986 | 18.603 | 18.312 |
| Frogfish                        | 44.703 | 51.425 | 48.263 |
| Sailfish                        | 88.395 | 95.390 | 93.638 |
| Enoplosus Armatus               | 12.727 | 15.602 | 13.515 |
| Pseudanthias Pleurotaenia       | 72.329 | 77.176 | 77.176 |
| Atlantic Spadefish              | 80.508 | 85.138 | 80.589 |
| Spotted Drum                    | 64.171 | 71.672 | 67.397 |
| Threespot Angelfish             | 18.486 | 18.940 | 18.895 |
| Chromis Dimidiata               | 19.927 | 22.350 | 22.310 |
| Redsea Bannerfish               | 55.002 | 60.313 | 58.716 |
| Heniochus Varius                | 1.708  | 1.819  | 1.819  |
| Maldives Damselfish             | 5.302  | 7.213  | 6.822  |
| Scissortail Sergeant            | 12.796 | 17.425 | 15.700 |
| Fire Goby                       | 60.430 | 66.941 | 66.915 |
| Porcupinefish                   | 69.431 | 74.666 | 74.666 |
| Yellow Boxfish                  | 79.588 | 87.369 | 87.369 |
| Blackspotted Puffer             | 31.368 | 33.740 | 33.740 |
| Blue Parrotfish                 | 88.129 | 88.777 | 88.777 |
| Pomacentrus Sulfureus           | 1.027  | 1.185  | 1.124  |
| Lunar Fusilier                  | 0.599  | 0.760  | 0.716  |
| Ocellaris Clownfish             | 65.025 | 78.891 | 75.909 |
| Cinnamon Clownfish              | 21.288 | 23.366 | 23.052 |
| Pink Anemonefish                | 63.236 | 74.947 | 72.582 |
| Orange Skunk Clownfish          | 28.321 | 36.737 | 34.181 |
| Giant Wrasse                    | 65.950 | 66.506 | 66.506 |
| Blue-spotted Wrasse             | 50.252 | 54.314 | 53.664 |
| Slingjaw Wrasse                 | 31.227 | 32.478 | 32.478 |
| Red-breasted Wrasse             | 28.980 | 30.936 | 30.936 |
| Peacock Grouper                 | 8.669  | 8.829  | 8.829  |
| Redmouth Grouper                | 8.052  | 8.076  | 8.076  |
| Humpback Grouper                | 6.092  | 6.420  | 6.420  |
| Coral Hind                      | 25.245 | 25.853 | 25.853 |
| Porkfish                        | 81.485 | 84.918 | 82.818 |
| Anyperodon Leucogrammicus       | 7.341  | 8.042  | 8.042  |
| Orange-band Surgeonfish         | 19.665 | 20.024 | 20.024 |
| Convict Surgeonfish             | 32.677 | 34.628 | 34.544 |
| Sohal Surgeonfish               | 41.384 | 42.068 | 42.068 |
| Powder Blue Tang                | 31.179 | 31.954 | 31.954 |
| Whitecheek Surgeonfish          | 22.870 | 23.066 | 23.066 |
| Bluecheek Butterflyfish         | 46.538 | 49.064 | 47.058 |
| Blacktail Butterflyfish         | 19.714 | 22.163 | 20.725 |
| Raccoon Butterflyfish           | 34.472 | 37.246 | 37.246 |
| Threadfin Butterflyfish         | 24.436 | 25.382 | 25.375 |
| Eritrean Butterflyfish          | 80.278 | 84.049 | 84.049 |
| Pyramid Butterflyfish           | 9.930  | 10.198 | 10.198 |
